case_id,pixel_mismatch,actual_area,expected_area,iou
web_extent,0,9.0,9.0,1.0
web_end,0,12.0,12.0,1.0
rect,0,8.0,8.0,1.0
clip_tl,0,6.0,6.0,1.0
clip_br,0,4.0,4.0,1.0
full,0,24.0,24.0,1.0
pixel,0,1.0,1.0,1.0
outside_right,0,0.0,0.0,1.0
outside_left,0,0.0,0.0,1.0
outside_bottom,0,0.0,0.0,1.0
outside_top,0,0.0,0.0,1.0
empty_x,0,0.0,0.0,1.0
empty_y,0,0.0,0.0,1.0
empty_point,0,0.0,0.0,1.0
tiny,0,1.0,1.0,1.0
row,0,3.0,3.0,1.0
column,0,3.0,3.0,1.0
random_000,0,272.0,272.0,1.0
random_001,0,32.0,32.0,1.0
random_002,0,30.0,30.0,1.0
random_003,0,64.0,64.0,1.0
random_004,0,39.0,39.0,1.0
random_005,0,192.0,192.0,1.0
random_006,0,60.0,60.0,1.0
random_007,0,306.0,306.0,1.0
random_008,0,0.0,0.0,1.0
random_009,0,16.0,16.0,1.0
random_010,0,51.0,51.0,1.0
random_011,0,0.0,0.0,1.0
random_012,0,0.0,0.0,1.0
random_013,0,0.0,0.0,1.0
random_014,0,207.0,207.0,1.0
random_015,0,119.0,119.0,1.0
random_016,0,78.0,78.0,1.0
random_017,0,51.0,51.0,1.0
random_018,0,128.0,128.0,1.0
random_019,0,12.0,12.0,1.0
random_020,0,255.0,255.0,1.0
random_021,0,0.0,0.0,1.0
random_022,0,0.0,0.0,1.0
random_023,0,230.0,230.0,1.0
random_024,0,0.0,0.0,1.0
random_025,0,136.0,136.0,1.0
random_026,0,247.0,247.0,1.0
random_027,0,0.0,0.0,1.0
random_028,0,132.0,132.0,1.0
random_029,0,136.0,136.0,1.0
random_030,0,136.0,136.0,1.0
random_031,0,0.0,0.0,1.0
random_032,0,0.0,0.0,1.0
random_033,0,0.0,0.0,1.0
random_034,0,391.0,391.0,1.0
random_035,0,84.0,84.0,1.0
random_036,0,0.0,0.0,1.0
random_037,0,391.0,391.0,1.0
random_038,0,0.0,0.0,1.0
random_039,0,323.0,323.0,1.0
random_040,0,0.0,0.0,1.0
random_041,0,272.0,272.0,1.0
random_042,0,70.0,70.0,1.0
random_043,0,55.0,55.0,1.0
random_044,0,16.0,16.0,1.0
random_045,0,64.0,64.0,1.0
random_046,0,34.0,34.0,1.0
random_047,0,0.0,0.0,1.0
random_048,0,2.0,2.0,1.0
random_049,0,391.0,391.0,1.0
random_050,0,0.0,0.0,1.0
random_051,0,0.0,0.0,1.0
random_052,0,6.0,6.0,1.0
random_053,0,30.0,30.0,1.0
random_054,0,161.0,161.0,1.0
random_055,0,0.0,0.0,1.0
random_056,0,196.0,196.0,1.0
random_057,0,34.0,34.0,1.0
random_058,0,0.0,0.0,1.0
random_059,0,253.0,253.0,1.0
random_060,0,32.0,32.0,1.0
random_061,0,64.0,64.0,1.0
random_062,0,0.0,0.0,1.0
random_063,0,176.0,176.0,1.0
random_064,0,143.0,143.0,1.0
random_065,0,0.0,0.0,1.0
random_066,0,51.0,51.0,1.0
random_067,0,21.0,21.0,1.0
random_068,0,24.0,24.0,1.0
random_069,0,143.0,143.0,1.0
random_070,0,204.0,204.0,1.0
random_071,0,190.0,190.0,1.0
random_072,0,0.0,0.0,1.0
random_073,0,0.0,0.0,1.0
random_074,0,20.0,20.0,1.0
random_075,0,23.0,23.0,1.0
random_076,0,276.0,276.0,1.0
random_077,0,368.0,368.0,1.0
random_078,0,23.0,23.0,1.0
random_079,0,184.0,184.0,1.0
random_080,0,0.0,0.0,1.0
random_081,0,0.0,0.0,1.0
random_082,0,54.0,54.0,1.0
random_083,0,110.0,110.0,1.0
random_084,0,66.0,66.0,1.0
random_085,0,136.0,136.0,1.0
random_086,0,0.0,0.0,1.0
random_087,0,374.0,374.0,1.0
random_088,0,46.0,46.0,1.0
random_089,0,144.0,144.0,1.0
random_090,0,0.0,0.0,1.0
random_091,0,0.0,0.0,1.0
random_092,0,230.0,230.0,1.0
random_093,0,126.0,126.0,1.0
random_094,0,0.0,0.0,1.0
random_095,0,0.0,0.0,1.0
random_096,0,69.0,69.0,1.0
random_097,0,0.0,0.0,1.0
random_098,0,368.0,368.0,1.0
random_099,0,0.0,0.0,1.0
