case_id,shape,bbox,feather_radius,maxae,mae,rmse,passed
web_extent,5x5,"(1, 1, 4, 4)",0,0.0,0.0,0.0,True
web_extent,5x5,"(1, 1, 4, 4)",1,0.0,0.0,0.0,True
web_extent,5x5,"(1, 1, 4, 4)",2,3.674253168384212e-08,1.4423182390643775e-08,1.870735398071483e-08,True
web_extent,5x5,"(1, 1, 4, 4)",3,3.674253168384212e-08,1.4423182390643775e-08,1.870735398071483e-08,True
web_extent,5x5,"(1, 1, 4, 4)",14,7.161487036722036e-08,3.213278386038354e-08,3.6956018851980866e-08,True
web_extent,5x5,"(1, 1, 4, 4)",15,7.161487036722036e-08,3.213278386038354e-08,3.6956018851980866e-08,True
web_extent,5x5,"(1, 1, 4, 4)",25,6.659494344862793e-08,2.3803387678711373e-08,2.978858010549096e-08,True
web_end,5x5,"(1, 0, 4, 4)",0,0.0,0.0,0.0,True
web_end,5x5,"(1, 0, 4, 4)",1,0.0,0.0,0.0,True
web_end,5x5,"(1, 0, 4, 4)",2,3.674253168384212e-08,1.411605710543995e-08,1.785020524494606e-08,True
web_end,5x5,"(1, 0, 4, 4)",3,3.674253168384212e-08,1.411605710543995e-08,1.785020524494606e-08,True
web_end,5x5,"(1, 0, 4, 4)",14,6.862827472975397e-08,2.911759366064359e-08,3.429206718469379e-08,True
web_end,5x5,"(1, 0, 4, 4)",15,6.862827472975397e-08,2.911759366064359e-08,3.429206718469379e-08,True
web_end,5x5,"(1, 0, 4, 4)",25,6.31167133002819e-08,3.2259565676540094e-08,3.9160095988976944e-08,True
rect,4x6,"(1, 1, 5, 3)",0,0.0,0.0,0.0,True
rect,4x6,"(1, 1, 5, 3)",1,0.0,0.0,0.0,True
rect,4x6,"(1, 1, 5, 3)",2,3.674253168384212e-08,1.5024148314335406e-08,1.9093113199748627e-08,True
rect,4x6,"(1, 1, 5, 3)",3,3.674253168384212e-08,1.5024148314335406e-08,1.9093113199748627e-08,True
rect,4x6,"(1, 1, 5, 3)",14,4.6016438104423685e-08,2.574911397064857e-08,2.873172772933807e-08,True
