case_id,feather_radius,e_max,mae,rmse
zero,15,0.0,0.0,0.0
one_01,15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16
one_0255,15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16
one_bool,15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16
identity_f0,0,0.0,0.0,0.0
identity_f1,1,0.0,0.0,0.0
impulse,3,1.2963778467378617e-08,1.0371022718391743e-09,2.751195880391026e-09
step,15,6.839518584822457e-08,2.7100347617251344e-08,3.946005202968701e-08
rect,15,1.1454386061870991e-07,1.4794331371959831e-08,2.8461990189631996e-08
rect_even,14,1.1454386061870991e-07,1.4794331371959831e-08,2.8461990189631996e-08
touch_edge,15,1.1454386061870991e-07,1.2851405948384384e-08,2.847964858185632e-08
corner,3,1.2963778467378617e-08,7.186642009271438e-10,2.6567320868260515e-09
thin,15,9.699536770990669e-09,6.430465021578513e-10,2.015967270139678e-09
tiny_1x1,15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16
tiny_1x9,15,7.646987071341371e-09,5.02300025493094e-09,5.539383193043397e-09
tiny_9x1,15,7.646987071341371e-09,5.02300025955687e-09,5.539383199283187e-09
random_f3,3,6.774109739815515e-08,1.6205354241712275e-08,1.989793340248463e-08
random_f15,15,1.0022528895703431e-07,2.0746571189476095e-08,2.6135666824882486e-08
random_f25,25,1.1130763077904504e-07,2.1980228596697384e-08,2.7645002442290603e-08
noncontiguous,15,1.1454386061870991e-07,1.972577516261311e-08,3.286507539531304e-08
