case_id,quadrant,pixel_mismatch,actual_area,expected_area,iou
even_4x6_top,top,0,12.0,12.0,1.0
even_4x6_bottom,bottom,0,12.0,12.0,1.0
even_4x6_left,left,0,12.0,12.0,1.0
even_4x6_right,right,0,12.0,12.0,1.0
even_4x6_center,center,0,6.0,6.0,1.0
odd_5x7_top,top,0,14.0,14.0,1.0
odd_5x7_bottom,bottom,0,21.0,21.0,1.0
odd_5x7_left,left,0,15.0,15.0,1.0
odd_5x7_right,right,0,20.0,20.0,1.0
odd_5x7_center,center,0,8.0,8.0,1.0
tiny_1x1_top,top,0,0.0,0.0,1.0
tiny_1x1_bottom,bottom,0,1.0,1.0,1.0
tiny_1x1_left,left,0,0.0,0.0,1.0
tiny_1x1_right,right,0,1.0,1.0,1.0
tiny_1x1_center,center,0,0.0,0.0,1.0
tiny_1x5_top,top,0,0.0,0.0,1.0
tiny_1x5_bottom,bottom,0,5.0,5.0,1.0
tiny_1x5_left,left,0,2.0,2.0,1.0
tiny_1x5_right,right,0,3.0,3.0,1.0
tiny_1x5_center,center,0,0.0,0.0,1.0
tiny_5x1_top,top,0,2.0,2.0,1.0
tiny_5x1_bottom,bottom,0,3.0,3.0,1.0
tiny_5x1_left,left,0,0.0,0.0,1.0
tiny_5x1_right,right,0,5.0,5.0,1.0
tiny_5x1_center,center,0,0.0,0.0,1.0
shape_2x2_top,top,0,2.0,2.0,1.0
shape_2x2_bottom,bottom,0,2.0,2.0,1.0
shape_2x2_left,left,0,2.0,2.0,1.0
shape_2x2_right,right,0,2.0,2.0,1.0
shape_2x2_center,center,0,1.0,1.0,1.0
shape_3x3_top,top,0,3.0,3.0,1.0
shape_3x3_bottom,bottom,0,6.0,6.0,1.0
shape_3x3_left,left,0,3.0,3.0,1.0
shape_3x3_right,right,0,6.0,6.0,1.0
shape_3x3_center,center,0,4.0,4.0,1.0
shape_6x10_top,top,0,30.0,30.0,1.0
shape_6x10_bottom,bottom,0,30.0,30.0,1.0
shape_6x10_left,left,0,30.0,30.0,1.0
shape_6x10_right,right,0,30.0,30.0,1.0
shape_6x10_center,center,0,15.0,15.0,1.0
shape_7x9_top,top,0,27.0,27.0,1.0
shape_7x9_bottom,bottom,0,36.0,36.0,1.0
shape_7x9_left,left,0,28.0,28.0,1.0
shape_7x9_right,right,0,35.0,35.0,1.0
shape_7x9_center,center,0,16.0,16.0,1.0
shape_8x12_top,top,0,48.0,48.0,1.0
shape_8x12_bottom,bottom,0,48.0,48.0,1.0
shape_8x12_left,left,0,48.0,48.0,1.0
shape_8x12_right,right,0,48.0,48.0,1.0
shape_8x12_center,center,0,24.0,24.0,1.0
web_right,right,0,5.0,5.0,1.0
web_center,center,0,9.0,9.0,1.0
