case_id,shape,quadrant,feather_radius,maxae,mae,rmse,passed
even_4x6_top,4x6,top,0,0.0,0.0,0.0,True
even_4x6_top,4x6,top,1,0.0,0.0,0.0,True
even_4x6_top,4x6,top,2,2.508231511377801e-08,7.4505805691682525e-09,1.2761279315615624e-08,True
even_4x6_top,4x6,top,3,2.508231511377801e-08,7.4505805691682525e-09,1.2761279315615624e-08,True
even_4x6_top,4x6,top,24,1.9265143591518097e-08,1.1373140693105022e-08,1.2301114955040867e-08,True
even_4x6_top,4x6,top,25,1.9265143591518097e-08,1.1373140693105022e-08,1.2301114955040867e-08,True
even_4x6_bottom,4x6,bottom,0,0.0,0.0,0.0,True
even_4x6_bottom,4x6,bottom,1,0.0,0.0,0.0,True
even_4x6_bottom,4x6,bottom,2,2.508231511377801e-08,7.4505805691682525e-09,1.2761279315615624e-08,True
even_4x6_bottom,4x6,bottom,3,2.508231511377801e-08,7.4505805691682525e-09,1.2761279315615624e-08,True
even_4x6_bottom,4x6,bottom,24,1.9265143591518097e-08,1.1373140693105022e-08,1.2301114955040867e-08,True
even_4x6_bottom,4x6,bottom,25,1.9265143591518097e-08,1.1373140693105022e-08,1.2301114955040867e-08,True
even_4x6_left,4x6,left,0,0.0,0.0,0.0,True
even_4x6_left,4x6,left,1,0.0,0.0,0.0,True
even_4x6_left,4x6,left,2,2.508231511377801e-08,4.967053722030694e-09,1.0419540933654923e-08,True
even_4x6_left,4x6,left,3,2.508231511377801e-08,4.967053722030694e-09,1.0419540933654923e-08,True
even_4x6_left,4x6,left,24,8.213651159216795e-08,3.1085569646149835e-08,3.95161797386975e-08,True
even_4x6_left,4x6,left,25,8.213651159216795e-08,3.1085569646149835e-08,3.95161797386975e-08,True
even_4x6_right,4x6,right,0,0.0,0.0,0.0,True
even_4x6_right,4x6,right,1,0.0,0.0,0.0,True
even_4x6_right,4x6,right,2,2.508231511377801e-08,4.967053722030694e-09,1.0419540933654923e-08,True
even_4x6_right,4x6,right,3,2.508231511377801e-08,4.967053722030694e-09,1.0419540933654923e-08,True
even_4x6_right,4x6,right,24,8.213651159216795e-08,4.373327926650757e-08,4.998768519721017e-08,True
even_4x6_right,4x6,right,25,8.213651159216795e-08,4.373327926650757e-08,4.998768519721017e-08,True
even_4x6_center,4x6,center,0,0.0,0.0,0.0,True
even_4x6_center,4x6,center,1,0.0,0.0,0.0,True
even_4x6_center,4x6,center,2,3.674253168384212e-08,1.1630698376619009e-08,1.7317054642608516e-08,True
even_4x6_center,4x6,center,3,3.674253168384212e-08,1.1630698376619009e-08,1.7317054642608516e-08,True
even_4x6_center,4x6,center,24,5.1098988318454275e-08,2.039993660107875e-08,2.560005173213239e-08,True
even_4x6_center,4x6,center,25,5.1098988318454275e-08,2.039993660107875e-08,2.560005173213239e-08,True
odd_5x7_top,5x7,top,0,0.0,0.0,0.0,True
odd_5x7_top,5x7,top,1,0.0,0.0,0.0,True
odd_5x7_top,5x7,top,2,2.508231511377801e-08,5.960464455334602e-09,1.1414035211831411e-08,True
odd_5x7_top,5x7,top,3,2.508231511377801e-08,5.960464455334602e-09,1.1414035211831411e-08,True
odd_5x7_top,5x7,top,24,2.896125333995414e-08,1.4215755361757231e-08,1.622486003587959e-08,True
odd_5x7_top,5x7,top,25,2.896125333995414e-08,1.4215755361757231e-08,1.622486003587959e-08,True
odd_5x7_bottom,5x7,bottom,0,0.0,0.0,0.0,True
odd_5x7_bottom,5x7,bottom,1,0.0,0.0,0.0,True
odd_5x7_bottom,5x7,bottom,2,2.508231511377801e-08,5.960464455334602e-09,1.1414035211831411e-08,True
odd_5x7_bottom,5x7,bottom,3,2.508231511377801e-08,5.960464455334602e-09,1.1414035211831411e-08,True
odd_5x7_bottom,5x7,bottom,24,3.891036637337919e-08,2.3490836809081374e-08,2.5656728553318144e-08,True
odd_5x7_bottom,5x7,bottom,25,3.891036637337919e-08,2.3490836809081374e-08,2.5656728553318144e-08,True
odd_5x7_left,5x7,left,0,0.0,0.0,0.0,True
odd_5x7_left,5x7,left,1,0.0,0.0,0.0,True
odd_5x7_left,5x7,left,2,2.508231511377801e-08,4.257474618883452e-09,9.646620426780584e-09,True
odd_5x7_left,5x7,left,3,2.508231511377801e-08,4.257474618883452e-09,9.646620426780584e-09,True
odd_5x7_left,5x7,left,24,3.88021493824553e-08,2.156351418853524e-08,2.537394771341453e-08,True
odd_5x7_left,5x7,left,25,3.88021493824553e-08,2.156351418853524e-08,2.537394771341453e-08,True
odd_5x7_right,5x7,right,0,0.0,0.0,0.0,True
odd_5x7_right,5x7,right,1,0.0,0.0,0.0,True
odd_5x7_right,5x7,right,2,2.508231511377801e-08,4.257474618883452e-09,9.646620426780583e-09,True
odd_5x7_right,5x7,right,3,2.508231511377801e-08,4.257474618883452e-09,9.646620426780583e-09,True
odd_5x7_right,5x7,right,24,1.2105293745179324e-07,5.363499998102737e-08,7.161349554839343e-08,True
